id,name,lat,lon,category,subcategory,neighborhood,address,summary,price_range,kid_friendly,visited,rating,website,google_maps_url,tags,notes
alexandra-palace,Alexandra Palace,,,attractions,landmark,,,,,,,,,,source:UK 2023,"Google rating: 4.6/5 (23,405 reviews)"
all-saints-church-minstead,"All Saints' Church, Minstead.",,,historic-sites,medieval,,,,,,,,,,source:UK 2023,Google rating: 4.7/5 (97 reviews)
amathus-south-kensington,Amathus South Kensington,,,attractions,landmark,,,,,,,,,,source:UK 2023,Google rating: 4.9/5 (35 reviews)
american-bar,AMERICAN BAR,,,restaurants,cocktail-bar,,,,$$$$,,,,,,source:UK 2023,"Google rating: 4.6/5 (1,062 reviews)"
and-woodhouse-brewery,and Woodhouse brewery,,,restaurants,pub,Belgravia,,,,,,,,,,
andy-s-maritime-antiques-and-army-surplus-store,Andy's Maritime Antiques And Army Surplus Store,,,attractions,landmark,,,,,,,,,,source:UK 2023,Google rating: 4.7/5 (63 reviews)
annunciation-marble-arch,"Annunciation, Marble Arch",,,historic-sites,medieval,,,,,,,,,,source:UK 2023,Google rating: 4.4/5 (34 reviews)
anti-nuclear-activism-legacy,Anti-Nuclear Activism & Legacy,,,wmd-sites,missile,,,"15. Aldermaston Marches (London to Aldermaston) Since 1958, activists have marched from London to the Atomic Weapons Establishment (AWE) in Aldermaston to protest nuclear weapons. The Campaign for Nuc",,,,,,,,lear Disarmament (CND) remains active today.
are-the-only-food,are the only food,,,restaurants,restaurant,Whitehall/Charing Cross,,,,,,,,,,
arsenal-fc,Arsenal FC,51.555015,-0.108438,attractions,football,London,,Football club in London,,true,,,,,sports|football,Premier League (Level 1) Stadium: Emirates Stadium CLUB INFO: https://www.arsenal.com
ashmolean-museum,Ashmolean Museum,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.7/5 (11,506 reviews)"
au-plat-d-etain,Au Plat d'Etain,,,attractions,landmark,,,,,,,,,,source:UK 2023,Google rating: 4.6/5 (45 reviews)
baboo-gelato-cobb-lyme-regis,Baboo Gelato Cobb Lyme Regis,,,restaurants,ice-cream,,,,,,,,,,source:UK 2023,Google rating: 4.7/5 (125 reviews)
badbury-rings,Badbury Rings,,,attractions,landmark,,,,$$,,,,,,source:UK 2023,Google rating: 4.7/5 (922 reviews)
bali-bali,Bali Bali,,,restaurants,restaurant,,,,$$,,,,,,source:UK 2023,Google rating: 4.5/5 (936 reviews)
balthazar,Balthazar,51.5123666,-0.1212353,restaurants,restaurant,Covent Garden,,"bistro, always buzzing, never taken a group but have done several lunches",,,,,,,,
bamburgh-castle,Bamburgh Castle,,,historic-sites,castle,,,,,,,,,,source:UK 2023,"Google rating: 4.7/5 (18,426 reviews)"
bancone,Bancone,,,restaurants,restaurant,Whitehall/Charing Cross,,"just off Trafalgar Sq, really tasty pasta, casual, good for a lunch if you're not",,,,,,,,
bar-douro-london-bridge,Bar Douro London Bridge,,,restaurants,restaurant,,,,$$,,,,,,source:UK 2023,"Google rating: 4.6/5 (1,938 reviews)"
bar-italia,Bar Italia,,,restaurants,cafe,,,,$,,,,,,source:UK 2023,"Google rating: 4.2/5 (2,124 reviews)"
barnet-fc,Barnet FC,51.592599,-0.272898,attractions,football,London,,Football club in London,,true,,,,,sports|football,League Two (Level 4) Stadium: The Hive Stadium CLUB INFO: https://www.barnetfc.com
battery-steele,Battery Steele,,,historic-sites,memorial,,,,,,,,,,source:London Historic Restaurants and Pubs,Google rating: 4.6/5 (322 reviews)
battle-abbey,Battle Abbey,,,historic-sites,memorial,,,,,,,,,,source:UK 2023,"Google rating: 4.6/5 (4,404 reviews)"
battle-of-barnet-monument,Battle of Barnet Monument,,,historic-sites,memorial,,,,,,,,,,source:UK 2023,Google rating: 4.3/5 (38 reviews)
battle-of-britain-bunker,Battle of Britain Bunker,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.8/5 (1,626 reviews)"
battle-of-britain-memorial,Battle of Britain Memorial,,,historic-sites,memorial,,,,,,,,,,source:UK 2023,"Google rating: 4.8/5 (3,076 reviews)"
beamish-the-living-museum-of-the-north,Beamish - The Living Museum of the North,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.8/5 (26,233 reviews)"
beigel-bake,Beigel Bake,,,restaurants,bakery,,,,$,,,,,,source:UK 2023,"Google rating: 4.4/5 (14,120 reviews)"
bentley-s-oyster-bar-grill,Bentley's Oyster Bar & Grill,,,restaurants,restaurant,,,,$$$$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.5/5 (2,015 reviews)"
berner-s-tavern,Berner's Tavern,,,restaurants,pub,Belgravia,,Expensive Mac & Cheese with brisket . . . Trust!,,,,,,,,
berry-bros-rudd-wine-shop,Berry Bros. & Rudd Wine Shop,,,attractions,landmark,,,,$$$,,,,,,source:UK 2023,Google rating: 4.6/5 (613 reviews)
blacklock,Blacklock,51.5117726,-0.1346407,restaurants,restaurant,Soho,,"steakhouse. Open concept, very noisy.",,,,,,,,
blenheim-palace,Blenheim Palace,,,historic-sites,castle,,,,,,,,,,source:UK 2023,"Google rating: 4.6/5 (18,397 reviews)"
bletchley-park,Bletchley Park,,,historic-sites,memorial,,,,,,,,,,source:UK 2023,"Google rating: 4.7/5 (17,151 reviews)"
bloom-graze-ltd,Bloom & Graze Ltd,,,restaurants,cafe,,,,$,,,,,,source:UK 2023,Google rating: 4.7/5 (109 reviews)
blue-boar-pub,Blue Boar Pub,,,restaurants,pub,,,,$$$,,,,,,source:UK 2023,"Google rating: 4.4/5 (2,045 reviews)"
blue-plaque-jim-henson,Blue Plaque: Jim Henson,,,historic-sites,memorial,,,,,,,,,,source:Great Muppet Caper,Google rating: 5.0/5 (3 reviews)
bluebell-railway-sheffield-park-station,"Bluebell Railway - (Sheffield Park, Station)",,,attractions,landmark,,,,,,,,,,source:UK 2023,"Google rating: 4.7/5 (3,793 reviews)"
bolsdale,Bolsdale,,,restaurants,pub,Belgravia,,(also locations in Mayfair and Canary Wharf): Jazz music dining spot. This,,,,,,,,
book-good-set-menus-for-a-larger-dinner,"book, good set menus for a larger dinner",,,restaurants,pub,Whitehall/Charing Cross,,,,,,,,,,
bosworth-battlefield-heritage-centre,Bosworth Battlefield Heritage Centre,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.6/5 (2,286 reviews)"
brasserie-zedel,Brasserie Zedel,,,restaurants,cafe,Whitehall/Charing Cross,,"1920s theme, extensive French wine list, typical French cafe menu",,,,,,,,
bread-street-kitchen-bar-limehouse,Bread Street Kitchen & Bar - Limehouse,,,restaurants,restaurant,,,,,,,,,,source:UK 2023,"Google rating: 4.1/5 (3,352 reviews)"
breadline-cafe,Breadline Cafe,,,restaurants,cafe,,,,$,,,,,,source:UK 2023,Google rating: 4.3/5 (609 reviews)
brentford-fc,Brentford FC,51.490735,-0.288871,attractions,football,London,,Football club in London,,true,,,,,sports|football,Premier League (Level 1) Stadium: Gtech Community Stadium CLUB INFO: https://www.brentfordfc.com
brentford-women-s-fc,Brentford Women's FC,51.451917,-0.424361,attractions,football,London,,Football club in London,,true,,,,,sports|football,League One (Level 3) Stadium: Bedfont Sports Ground CLUB INFO: https://www.brentfordfc.com/teams/women
bridge-of-sighs,Bridge of Sighs,,,attractions,landmark,,,,,,,,,,source:UK 2023,Google rating: 4.6/5 (810 reviews)
brighton-palace-pier,Brighton Palace Pier,,,kid-friendly,theme-park,,,,,,,,,,source:UK 2023,"Google rating: 4.4/5 (36,947 reviews)"
brighton-toy-and-model-museum,Brighton Toy and Model Museum,,,attractions,museum,,,,,,,,,,source:UK 2023,Google rating: 4.6/5 (612 reviews)
british-wildlife-centre,British Wildlife Centre,,,attractions,zoo,,,,,,,,,,source:UK 2023,"Google rating: 4.7/5 (2,154 reviews)"
broadway-tower,Broadway Tower,,,historic-sites,memorial,,,,,,,,,,source:UK 2023,"Google rating: 4.4/5 (6,559 reviews)"
bromley-fc,Bromley FC,51.383902,0.021473,attractions,football,London,,Football club in London,,true,,,,,sports|football,National League (Level 5) Stadium: Hayes Lane CLUB INFO: https://www.bromleyfc.tv
bront-parsonage-museum,Brontë Parsonage Museum,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.6/5 (3,328 reviews)"
brown-forrest-smokery,Brown & Forrest Smokery,,,restaurants,market,,,,$$,,,,,,source:UK 2023,Google rating: 4.7/5 (242 reviews)
brunel-museum,Brunel Museum,,,attractions,museum,,,,,,,,,,source:UK 2023,Google rating: 4.2/5 (942 reviews)
brunel-tunnel-under-river-thames,Brunel Tunnel Under River Thames,,,historic-sites,memorial,,,,,,,,,,source:UK 2023,Google rating: 3.9/5 (8 reviews)
bt-tower,BT Tower,51.5214383,-0.1388047,wmd-sites,nuclear,London,,"Completed in 1964, this communications tower was designed to withstand a nuclear attack. Though no longer a government facility, it remains an iconic landmark.",,,,,,,,
but-first-coffee,"But First, Coffee",,,restaurants,cafe,,,,$,,,,,,source:UK 2023,Google rating: 4.7/5 (194 reviews)
by-or-on-whitehall,By or on Whitehall,,,restaurants,restaurant,Belgravia,,,,,,,,,,
by-thames-house,By Thames House,,,restaurants,restaurant,Belgravia,,,,,,,,,,
cadogan-arms,Cadogan Arms,51.4859699,-0.1729707,restaurants,pub,Chelsea,,"upscale pub, private room downstairs that seats 30 or stands SO.",,,,,,,,
caf-japan,Café Japan,,,restaurants,restaurant,,,,$$,,,,,,source:UK 2023,Google rating: 4.7/5 (429 reviews)
callaway-s-fish-chips,Callaway's Fish & Chips,,,restaurants,restaurant,,,,$,,,,,,source:UK 2023,Google rating: 4.7/5 (377 reviews)
cambridge-punters,Cambridge Punters,,,attractions,landmark,,,,,,,,,,source:UK 2023,Google rating: 4.8/5 (540 reviews)
cancellation-policy-british-food,cancellation policy]. British food,,,restaurants,restaurant,Belgravia,,,,,,,,,,
cannon-ln,Cannon Ln,,,attractions,landmark,,,,,,,,,,source:UK 2023,
canterbury-castle,Canterbury Castle,,,attractions,landmark,,,,,,,,,,source:UK 2023,Google rating: 3.6/5 (316 reviews)
canterbury-cathedral,Canterbury Cathedral,,,historic-sites,medieval,,,,,,,,,,source:UK 2023,"Google rating: 4.6/5 (14,278 reviews)"
canterbury-roman-museum,Canterbury Roman Museum,,,attractions,museum,,,,,,,,,,source:UK 2023,Google rating: 4.3/5 (631 reviews)
captain-kidd,Captain Kidd,,,restaurants,pub,,,,$$,,,,,,source:Pubs,"Google rating: 4.3/5 (3,027 reviews)"
cask,Cask,51.491093,-0.1373223,restaurants,restaurant,Pimlico,,mostly beer. A lot of government employees here,,,,,,,,
castle-mound,Castle Mound,,,historic-sites,memorial,,,,,,,,,,source:UK 2023,Google rating: 4.3/5 (675 reviews)
caxton-grill,Caxton Grill,,,restaurants,pub,Whitehall/St James's Park/Victoria,,"in St Ermin's hotel, nice for lunch or in semi-private space for group dinner",,,,,,,,
chalbury-food-wine,Chalbury Food & Wine,,,attractions,landmark,,,,,,,,,,source:UK 2023,Google rating: 4.7/5 (306 reviews)
chalice-well,Chalice Well,,,attractions,garden,,,,,,,,,,source:UK 2023,"Google rating: 4.7/5 (2,749 reviews)"
champagne-charlles,Champagne Charlles,,,restaurants,restaurant,Whitehall/Charing Cross,,good mid-range choice when you want to take a group but not,,,,,,,,
charles-dickens-museum,Charles Dickens Museum,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.6/5 (2,530 reviews)"
charlton-athletic,Charlton Athletic,51.486669,0.036633,attractions,football,London,,Football club in London,,true,,,,,sports|football,League One (Level 3) Stadium: The Valley CLUB INFO: https://www.charltonathletic.co.uk
cheddar-gorge,Cheddar Gorge,,,day-trips,countryside,,,,,,,,,,source:UK 2023,"Google rating: 4.7/5 (2,808 reviews)"
cheddar-gorge-and-caves,Cheddar Gorge and Caves,,,attractions,landmark,,,,,,,,,,source:UK 2023,"Google rating: 4.6/5 (9,981 reviews)"
cheddar-gorge-cheese-company,Cheddar Gorge Cheese Company,,,restaurants,market,,,,,,,,,,source:UK 2023,Google rating: 4.5/5 (656 reviews)
chelsea-fc,Chelsea FC,51.481683,-0.190957,attractions,football,London,,Football club in London,,true,,,,,sports|football,Premier League (Level 1) Stadium: Stamford Bridge CLUB INFO: https://www.chelseafc.com
cheltenham-model-centre,Cheltenham Model Centre,,,attractions,landmark,,,,,,,,,,source:UK 2023,Google rating: 4.6/5 (250 reviews)
chesil-beach-west,Chesil Beach (West),,,attractions,landmark,,,,,,,,,,source:UK 2023,Google rating: 4.7/5 (45 reviews)
chiltern-firehouse,Chiltern Firehouse,,,restaurants,pub,• Salt Yard (Fitzrovia),,"mostly seafood, expensive, long wine list. Noisy at dinner.",,,,,,,,
chinatown,Chinatown,,,restaurants,restaurant,Belgravia,,,,,,,,,,
christ-church-gate,Christ Church Gate,,,historic-sites,memorial,,,,,,,,,,source:UK 2023,Google rating: 4.6/5 (80 reviews)
churchill-war-rooms,Churchill War Rooms,51.5022102,-0.129252,wmd-sites,nuclear,"Westminster, London",,"Originally Winston Churchill's WWII command center, this site influenced early UK nuclear strategy. Now a museum, it provides an immersive experience into war-era decision-making.",,,,,,,,
cinnamon-club,Cinnamon club,,,restaurants,pub,Belgravia,,in an old library. Excellent Indian. 4+ requires CC and 48 hours cancellation,,,,,,,,
cittle-of-york-huge-and-inexpensive-also-a-sam-smiths,"Cittle of York· Huge and inexpensive, also a Sam Smiths",,,restaurants,restaurant,Belgravia,,,,,,,,,,
city-wall-walk,City Wall Walk,,,historic-sites,memorial,,,,,,,,,,source:UK 2023,Google rating: 4.8/5 (48 reviews)
clarence-pier,Clarence Pier,,,kid-friendly,theme-park,,,,,,,,,,source:UK 2023,"Google rating: 4.2/5 (4,535 reviews)"
clavell-tower,Clavell Tower,,,historic-sites,memorial,,,,,,,,,,source:UK 2023,Google rating: 4.5/5 (190 reviews)
cleveland-pools,Cleveland Pools,,,attractions,landmark,,,,,,,,,,source:UK 2023,Google rating: 4.1/5 (38 reviews)
clifton-nurseries,Clifton Nurseries,,,attractions,garden,,,,$$$,,,,,,source:UK 2023,"Google rating: 4.6/5 (1,384 reviews)"
connaught-in-mayfair,Connaught in Mayfair,,,restaurants,restaurant,Belgravia,,very expensive and posh,,,,,,,,
corinium-museum,Corinium Museum,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.7/5 (1,144 reviews)"
corinthla-also-does-a-very-nice-afternoon-tea-expensive-and-fancy,Corinthla also does a very nice afternoon tea. Expensive and fancy!,,,restaurants,restaurant,Whitehall/Charing Cross,,,,,,,,,,
corrochio-s,Corrochio's,,,restaurants,restaurant,,,,$$,,,,,,source:UK 2023,Google rating: 4.7/5 (779 reviews)
cotswold-falconry-centre,Cotswold Falconry Centre,,,day-trips,countryside,,,,,,,,,,source:UK 2023,"Google rating: 4.8/5 (1,146 reviews)"
crab-museum,Crab Museum,,,attractions,museum,,,,,,,,,,source:UK 2023,Google rating: 4.9/5 (597 reviews)
crockford-bridge-farm,Crockford Bridge Farm,,,kid-friendly,farm,,,,,,,,,,source:UK 2023,"Google rating: 4.2/5 (1,719 reviews)"
crosby-hall,Crosby Hall,,,attractions,landmark,,Cheyne Walk London SW3 5AZ United Kingdom,,,,,,,,source:UK 2023,
crystal-palace-fc,Crystal Palace FC,51.398361,-0.085455,attractions,football,London,,Football club in London,,true,,,,,sports|football,Premier League (Level 1) Stadium: Selhurst Park CLUB INFO: https://www.cpfc.co.uk
dagenham-and-redbridge,Dagenham and Redbridge,51.546961,0.154421,attractions,football,London,,Football club in London,,true,,,,,sports|football,National League (Level 5) Stadium: Victoria Road CLUB INFO: https://www.daggers.co.uk
dahessa,Dahessa,,,restaurants,restaurant,• Salt Yard (Fitzrovia),,,,,,,,,,
daunt-books-marylebone,Daunt Books Marylebone,,,attractions,landmark,,,,,,,,,,source:UK 2023,"Google rating: 4.8/5 (6,588 reviews)"
davy-s-wine-bar,Davy's Wine Bar,,,restaurants,wine-bar,Piccadilly/Regent Street,,,,,,,,,,
dehem,Dehem,,,restaurants,pub,Belgravia,,Dutch pub with Belgian beer!,,,,,,,,
dehesa,Dehesa,,,restaurants,restaurant,Piccadilly/Regent Street,,"Kingly st by carnaby-Spanish/ltalian small plates, private wine cellar seats up",,,,,,,,
delamina,Delamina,51.5163787,-0.1500847,restaurants,restaurant,Marylebone,,good Mediterranean tapas,,,,,,,,
dennis-severs-house,Dennis Severs' House,,,attractions,museum,,,,,,,,,,source:UK 2023,Google rating: 4.5/5 (871 reviews)
diana-memorial-playground,Diana Memorial Playground,,,attractions,landmark,,,,,,,,,,source:UK 2023,"Google rating: 4.7/5 (5,100 reviews)"
diddly-squat-farm-shop,Diddly Squat Farm Shop,,,restaurants,market,,,,,,,,,,source:UK 2023,"Google rating: 4.4/5 (7,858 reviews)"
dinosaurland-fossil-museum,Dinosaurland Fossil Museum,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.6/5 (1,110 reviews)"
dishoom,Dishoom,,,restaurants,cafe,Belgravia,,,,,,,,,,
dlshoom,Dlshoom,,,restaurants,restaurant,Piccadilly/Regent Street,,very popular Indian restaurant; branches in carnaby branch and Covent,,,,,,,,
dogpark,Dogpark,,,attractions,park,,,,,,,,,,source:UK 2023,Google rating: 5.0/5 (1 reviews)
dover-castle,Dover Castle,,,historic-sites,castle,,,,,,,,,,source:UK 2023,"Google rating: 4.7/5 (17,077 reviews)"
dropped-pin,Dropped pin,,,attractions,landmark,,"Nearby address: Rick Roll, 154 Freston Rd, London W10 6TR",,,,,,,,source:UK Music,
duke-s,Duke's,51.5080829,-0.136076,restaurants,wine-bar,Belgravia,,Famous gin bar. Has a cigar bar.,,,,,,,,
dulwich-hamlet,Dulwich Hamlet,51.465657,-0.080016,attractions,football,London,,Football club in London,,true,,,,,sports|football,National League South (Level 6) Stadium: Champion Hill CLUB INFO: https://www.dulwichhamletfc.co.uk
dumplings-legend,Dumplings Legend,,,restaurants,restaurant,Belgravia,,,,,,,,,,
dunn-s-bakery,Dunn's Bakery,,,restaurants,bakery,,,,$,,,,,,source:UK 2023,Google rating: 4.5/5 (455 reviews)
durdle-door,Durdle Door,,,day-trips,coast,,,,,,,,,,source:UK 2023,"Google rating: 4.8/5 (6,655 reviews)"
ely-cathedral,Ely Cathedral,,,historic-sites,medieval,,,,,,,,,,source:UK 2023,"Google rating: 4.7/5 (6,729 reviews)"
emberyard,EmberYard,,,restaurants,restaurant,Mayfair,,,,,,,,,,
enfield-town-fc,Enfield Town FC,51.654871,-0.091531,attractions,football,London,,Football club in London,,true,,,,,sports|football,National League South (Level 6) Stadium: Queen Elizabeth II Stadium CLUB INFO: https://www.enfieldtownfootballclub.co.uk
entrees-are-30,entrees are 30,,,restaurants,restaurant,Whitehall/Charing Cross,,40GBP. Tasting menu available for S0GBP/140 with wine. (Service can be,,,,,,,,
excellent-food-nice-ambiance,"Excellent food, nice ambiance",,,restaurants,restaurant,Chelsea,,,,,,,,,,
explosion-museum-of-naval-firepower,Explosion Museum of Naval Firepower,,,attractions,museum,,,,,,,,,,source:UK 2023,"Google rating: 4.5/5 (1,194 reviews)"
fallow,Fallow,,,restaurants,restaurant,Piccadilly/Regent Street,,"amazing food (will be a michelin star kind of restaurant, and is down the street",,,,,,,,
fez,Fez,,,restaurants,pub,,,,$$,,,,,,source:Pubs,Google rating: 4.7/5 (696 reviews)
finsbury-park-cafe,Finsbury Park Cafe,,,restaurants,cafe,,,,$,,,,,,source:UK 2023,Google rating: 4.1/5 (834 reviews)
first-v2-rocket-memorial,First V2 rocket Memorial,,,historic-sites,memorial,,,,,,,,,,source:UK 2023,Google rating: 4.4/5 (7 reviews)
fish-n-fritz,Fish 'n' Fritz,,,restaurants,restaurant,,,,$$,,,,,,source:UK 2023,"Google rating: 4.4/5 (1,122 reviews)"
five-hundred-acre-wood,Five Hundred Acre Wood,,,day-trips,countryside,,,,,,,,,,source:UK 2023,Google rating: 4.7/5 (24 reviews)
flight-club,Flight Club,,,restaurants,wine-bar,Whitehall/St James's Park/Victoria,,"hip bar with darts and games, and a rooftop terrace in the summer",,,,,,,,
folkies-music,Folkies Music,,,attractions,landmark,,,,,,,,,,source:UK 2023,Google rating: 4.9/5 (96 reviews)
ford-farm,FORD FARM,,,restaurants,market,,,,,,,,,,source:UK 2023,Google rating: 4.5/5 (56 reviews)
from-heddon-st-kitchen,from Heddon St Kitchen),,,restaurants,restaurant,Piccadilly/Regent Street,,"note, moved to new location as of fall 2021",,,,,,,,
fulham-fc,Fulham FC,51.474924,-0.221619,attractions,football,London,,Football club in London,,true,,,,,sports|football,Premier League (Level 1) Stadium: Craven Cottage CLUB INFO: https://www.fulhamfc.com
fuller-s-brewery-shop-tours,Fuller's Brewery Shop & Tours,,,restaurants,pub,,,,,,,,,,source:Pubs,"Google rating: 4.9/5 (1,800 reviews)"
further-east,Further east,,,restaurants,restaurant,Belgravia,,,,,,,,,,
gaucho-piccadilly,Gaucho Piccadilly,,,restaurants,restaurant,Piccadilly/Regent Street,,"really nice private room, set menus for groups. Argentine steak",,,,,,,,
george,George,,,restaurants,pub,,,,$$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.3/5 (7,191 reviews)"
george-and-vulture,George and Vulture,,,restaurants,restaurant,,,,,,,,,,source:London Historic Restaurants and Pubs,Google rating: 4.4/5 (174 reviews)
glastonbury-abbey,Glastonbury Abbey,,,attractions,landmark,,,,,,,,,,source:UK 2023,"Google rating: 4.6/5 (6,207 reviews)"
glastonbury-tor,Glastonbury Tor,,,day-trips,countryside,,,,,,,,,,source:UK 2023,"Google rating: 4.8/5 (1,247 reviews)"
go-action-forest-paintballing-laser-tag-kids-adventure-camp,GO Action Forest - Paintballing / Laser Tag / Kids Adventure Camp,,,kid-friendly,outdoor-adventure,,,,,,,,,,source:UK 2023,Google rating: 4.6/5 (77 reviews)
goodman-steak-oust-off-regent-street,Goodman Steak Oust off Regent Street) -,,,restaurants,restaurant,Mayfair,,,,,,,,,,
gordon-s-wine-bar,Gordon's Wine Bar,,,restaurants,pub,Whitehall/Charing Cross,,"outside seating, small tables, extensive wine list, charcuterie boards",,,,,,,,
graam-bangla,Graam Bangla,,,restaurants,restaurant,,,,$$,,,,,,source:UK 2023,"Google rating: 4.7/5 (1,896 reviews)"
granny-s-caf,Granny's Café,,,restaurants,cafe,,,,$,,,,,,source:UK 2023,Google rating: 4.9/5 (197 reviews)
grays-antique-market,Grays Antique Market,,,attractions,landmark,,,,$$$,,,,,,source:UK 2023,Google rating: 4.1/5 (306 reviews)
guinea-grill,Guinea Grill,,,restaurants,pub,,,,$$$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.6/5 (2,322 reviews)"
hadrian-s-wall,Hadrian's Wall,,,historic-sites,memorial,,,,,,,,,,source:UK 2023,"Google rating: 4.6/5 (6,133 reviews)"
haggard-alley,Haggard Alley,,,attractions,landmark,,,,,,,,,,source:UK 2023,Google rating: 4.5/5 (93 reviews)
hampton-and-richmond-borough,Hampton and Richmond Borough,51.424744,-0.368688,attractions,football,London,,Football club in London,,true,,,,,sports|football,National League South (Level 6) Stadium: Beveree Stadium CLUB INFO: https://www.hamptonfc.net
harbour-stores,Harbour Stores,,,attractions,landmark,,,,,,,,,,source:UK 2023,Google rating: 5.0/5 (2 reviews)
haringey-borough,Haringey Borough,51.599713,-0.092245,attractions,football,London,,Football club in London,,true,,,,,sports|football,Isthmian League Premier Division (Level 7) Stadium: Coles Park Stadium CLUB INFO: https://www.haringeyboroughfc.com
harry-potter-shop-king-s-cross,Harry Potter Shop King's Cross,,,attractions,landmark,,,,,,,,,,source:UK 2023,"Google rating: 4.3/5 (34,449 reviews)"
hart-lova-bakery,Hart & Lova Bakery,,,restaurants,bakery,,,,$,,,,,,source:UK 2023,Google rating: 4.8/5 (804 reviews)
has-plenty-of-beer-and-the-cheapest-pint-in-all-of-london-great-tapas,has plenty of beer and the cheapest pint in all of London. Great tapas,,,restaurants,restaurant,Belgravia,,,,,,,,,,
havant-and-waterlooville,Havant and Waterlooville,50.860619,-0.988772,attractions,football,London,,Football club in London,,true,,,,,sports|football,National League South (Level 6) Stadium: Westleigh Park CLUB INFO: https://www.havantandwaterloovillefc.co.uk
hawks-stadium,Hawks Stadium,,,attractions,sports,,,,,,,,,,source:UK 2023,Google rating: 4.9/5 (80 reviews)
hawksm-r,Hawksm~r,,,restaurants,restaurant,Piccadilly/Regent Street,,"Air St branch off Piccadilly; nice steaks and seafood, but you could run up",,,,,,,,
heathrow-airport,Heathrow Airport,51.467739,-0.4587801,wmd-sites,radiological,,,"Entry point for Lugovoi and Kovtun into London, with polonium-210 traces found on their flight and in airport lounges.",,,,,,,,
heddon-street-kitchen-off-regent-street,Heddon Street Kitchen (off Regent Street),,,restaurants,restaurant,Belgravia,,Requires a credit card and must cancel at least 48,,,,,,,,
hedonism-wines,Hedonism Wines,,,attractions,landmark,,,,,,,,,,source:UK 2023,"Google rating: 4.8/5 (1,451 reviews)"
hemswell-antique-centres,Hemswell Antique Centres,,,attractions,landmark,,,,,,,,,,source:UK 2023,"Google rating: 4.6/5 (1,883 reviews)"
here-not-too-expensive,"here, not too expensive",,,restaurants,restaurant,Covent Garden,,,,,,,,,,
herschel-museum-of-astronomy,Herschel Museum of Astronomy,,,attractions,museum,,,,,,,,,,source:UK 2023,Google rating: 4.5/5 (575 reviews)
